work_id,collection,composer,title,catalog_key,n_units,year_start,year_end,year_certainty,source,note
kern-bach-370-chorales-chor086,kern/bach-370-chorales,Johann Sebastian Bach,chor086,,1,,,,,
kern-bach-370-chorales-chor087,kern/bach-370-chorales,Johann Sebastian Bach,chor087,,1,,,,,
kern-bach-370-chorales-chor088,kern/bach-370-chorales,Johann Sebastian Bach,chor088,,1,,,,,
kern-bach-370-chorales-chor089,kern/bach-370-chorales,Johann Sebastian Bach,chor089,,1,,,,,
kern-bach-370-chorales-chor090,kern/bach-370-chorales,Johann Sebastian Bach,chor090,,1,,,,,
kern-bach-370-chorales-chor091,kern/bach-370-chorales,Johann Sebastian Bach,chor091,,1,,,,,
kern-bach-370-chorales-chor092,kern/bach-370-chorales,Johann Sebastian Bach,chor092,,1,,,,,
kern-bach-370-chorales-chor093,kern/bach-370-chorales,Johann Sebastian Bach,chor093,,1,,,,,
kern-bach-370-chorales-chor094,kern/bach-370-chorales,Johann Sebastian Bach,chor094,,1,,,,,
kern-bach-370-chorales-chor095,kern/bach-370-chorales,Johann Sebastian Bach,chor095,,1,,,,,
kern-bach-370-chorales-chor096,kern/bach-370-chorales,Johann Sebastian Bach,chor096,,1,,,,,
kern-bach-370-chorales-chor097,kern/bach-370-chorales,Johann Sebastian Bach,chor097,,1,,,,,
kern-bach-370-chorales-chor098,kern/bach-370-chorales,Johann Sebastian Bach,chor098,,1,,,,,
kern-bach-370-chorales-chor099,kern/bach-370-chorales,Johann Sebastian Bach,chor099,,1,,,,,
kern-bach-370-chorales-chor100,kern/bach-370-chorales,Johann Sebastian Bach,chor100,,1,,,,,
kern-bach-370-chorales-chor101,kern/bach-370-chorales,Johann Sebastian Bach,chor101,,1,,,,,
kern-bach-370-chorales-chor102,kern/bach-370-chorales,Johann Sebastian Bach,chor102,,1,,,,,
kern-bach-370-chorales-chor103,kern/bach-370-chorales,Johann Sebastian Bach,chor103,,1,,,,,
kern-bach-370-chorales-chor104,kern/bach-370-chorales,Johann Sebastian Bach,chor104,,1,,,,,
kern-bach-370-chorales-chor105,kern/bach-370-chorales,Johann Sebastian Bach,chor105,,1,,,,,
kern-bach-370-chorales-chor106,kern/bach-370-chorales,Johann Sebastian Bach,chor106,,1,,,,,
kern-bach-370-chorales-chor107,kern/bach-370-chorales,Johann Sebastian Bach,chor107,,1,,,,,
kern-bach-370-chorales-chor108,kern/bach-370-chorales,Johann Sebastian Bach,chor108,,1,,,,,
kern-bach-370-chorales-chor109,kern/bach-370-chorales,Johann Sebastian Bach,chor109,,1,,,,,
kern-bach-370-chorales-chor110,kern/bach-370-chorales,Johann Sebastian Bach,chor110,,1,,,,,
kern-bach-370-chorales-chor111,kern/bach-370-chorales,Johann Sebastian Bach,chor111,,1,,,,,
kern-bach-370-chorales-chor112,kern/bach-370-chorales,Johann Sebastian Bach,chor112,,1,,,,,
kern-bach-370-chorales-chor113,kern/bach-370-chorales,Johann Sebastian Bach,chor113,,1,,,,,
kern-bach-370-chorales-chor114,kern/bach-370-chorales,Johann Sebastian Bach,chor114,,1,,,,,
kern-bach-370-chorales-chor115,kern/bach-370-chorales,Johann Sebastian Bach,chor115,,1,,,,,
kern-bach-370-chorales-chor116,kern/bach-370-chorales,Johann Sebastian Bach,chor116,,1,,,,,
kern-bach-370-chorales-chor117,kern/bach-370-chorales,Johann Sebastian Bach,chor117,,1,,,,,
kern-bach-370-chorales-chor118,kern/bach-370-chorales,Johann Sebastian Bach,chor118,,1,,,,,
kern-bach-370-chorales-chor119,kern/bach-370-chorales,Johann Sebastian Bach,chor119,,1,,,,,
kern-bach-370-chorales-chor120,kern/bach-370-chorales,Johann Sebastian Bach,chor120,,1,,,,,
kern-bach-370-chorales-chor121,kern/bach-370-chorales,Johann Sebastian Bach,chor121,,1,,,,,
kern-bach-370-chorales-chor122,kern/bach-370-chorales,Johann Sebastian Bach,chor122,,1,,,,,
kern-bach-370-chorales-chor123,kern/bach-370-chorales,Johann Sebastian Bach,chor123,,1,,,,,
kern-bach-370-chorales-chor124,kern/bach-370-chorales,Johann Sebastian Bach,chor124,,1,,,,,
kern-bach-370-chorales-chor125,kern/bach-370-chorales,Johann Sebastian Bach,chor125,,1,,,,,
kern-bach-370-chorales-chor126,kern/bach-370-chorales,Johann Sebastian Bach,chor126,,1,,,,,
kern-bach-370-chorales-chor127,kern/bach-370-chorales,Johann Sebastian Bach,chor127,,1,,,,,
kern-bach-370-chorales-chor128,kern/bach-370-chorales,Johann Sebastian Bach,chor128,,1,,,,,
kern-bach-370-chorales-chor129,kern/bach-370-chorales,Johann Sebastian Bach,chor129,,1,,,,,
kern-bach-370-chorales-chor130,kern/bach-370-chorales,Johann Sebastian Bach,chor130,,1,,,,,
kern-bach-370-chorales-chor131,kern/bach-370-chorales,Johann Sebastian Bach,chor131,,1,,,,,
kern-bach-370-chorales-chor132,kern/bach-370-chorales,Johann Sebastian Bach,chor132,,1,,,,,
kern-bach-370-chorales-chor133,kern/bach-370-chorales,Johann Sebastian Bach,chor133,,1,,,,,
kern-bach-370-chorales-chor134,kern/bach-370-chorales,Johann Sebastian Bach,chor134,,1,,,,,
kern-bach-370-chorales-chor135,kern/bach-370-chorales,Johann Sebastian Bach,chor135,,1,,,,,
kern-bach-370-chorales-chor136,kern/bach-370-chorales,Johann Sebastian Bach,chor136,,1,,,,,
kern-bach-370-chorales-chor137,kern/bach-370-chorales,Johann Sebastian Bach,chor137,,1,,,,,
kern-bach-370-chorales-chor138,kern/bach-370-chorales,Johann Sebastian Bach,chor138,,1,,,,,
kern-bach-370-chorales-chor139,kern/bach-370-chorales,Johann Sebastian Bach,chor139,,1,,,,,
kern-bach-370-chorales-chor140,kern/bach-370-chorales,Johann Sebastian Bach,chor140,,1,,,,,
kern-bach-370-chorales-chor141,kern/bach-370-chorales,Johann Sebastian Bach,chor141,,1,,,,,
kern-bach-370-chorales-chor142,kern/bach-370-chorales,Johann Sebastian Bach,chor142,,1,,,,,
kern-bach-370-chorales-chor143,kern/bach-370-chorales,Johann Sebastian Bach,chor143,,1,,,,,
kern-bach-370-chorales-chor144,kern/bach-370-chorales,Johann Sebastian Bach,chor144,,1,,,,,
kern-bach-370-chorales-chor145,kern/bach-370-chorales,Johann Sebastian Bach,chor145,,1,,,,,
kern-bach-370-chorales-chor146,kern/bach-370-chorales,Johann Sebastian Bach,chor146,,1,,,,,
kern-bach-370-chorales-chor147,kern/bach-370-chorales,Johann Sebastian Bach,chor147,,1,,,,,
kern-bach-370-chorales-chor148,kern/bach-370-chorales,Johann Sebastian Bach,chor148,,1,,,,,
kern-bach-370-chorales-chor149,kern/bach-370-chorales,Johann Sebastian Bach,chor149,,1,,,,,
kern-bach-370-chorales-chor151,kern/bach-370-chorales,Johann Sebastian Bach,chor151,,1,,,,,
kern-bach-370-chorales-chor152,kern/bach-370-chorales,Johann Sebastian Bach,chor152,,1,,,,,
kern-bach-370-chorales-chor153,kern/bach-370-chorales,Johann Sebastian Bach,chor153,,1,,,,,
kern-bach-370-chorales-chor154,kern/bach-370-chorales,Johann Sebastian Bach,chor154,,1,,,,,
kern-bach-370-chorales-chor155,kern/bach-370-chorales,Johann Sebastian Bach,chor155,,1,,,,,
kern-bach-370-chorales-chor156,kern/bach-370-chorales,Johann Sebastian Bach,chor156,,1,,,,,
kern-bach-370-chorales-chor157,kern/bach-370-chorales,Johann Sebastian Bach,chor157,,1,,,,,
kern-bach-370-chorales-chor158,kern/bach-370-chorales,Johann Sebastian Bach,chor158,,1,,,,,
kern-bach-370-chorales-chor159,kern/bach-370-chorales,Johann Sebastian Bach,chor159,,1,,,,,
kern-bach-370-chorales-chor160,kern/bach-370-chorales,Johann Sebastian Bach,chor160,,1,,,,,
kern-bach-370-chorales-chor161,kern/bach-370-chorales,Johann Sebastian Bach,chor161,,1,,,,,
kern-bach-370-chorales-chor162,kern/bach-370-chorales,Johann Sebastian Bach,chor162,,1,,,,,
kern-bach-370-chorales-chor163,kern/bach-370-chorales,Johann Sebastian Bach,chor163,,1,,,,,
kern-bach-370-chorales-chor164,kern/bach-370-chorales,Johann Sebastian Bach,chor164,,1,,,,,
kern-bach-370-chorales-chor165,kern/bach-370-chorales,Johann Sebastian Bach,chor165,,1,,,,,
kern-bach-370-chorales-chor166,kern/bach-370-chorales,Johann Sebastian Bach,chor166,,1,,,,,
kern-bach-370-chorales-chor167,kern/bach-370-chorales,Johann Sebastian Bach,chor167,,1,,,,,
kern-bach-370-chorales-chor168,kern/bach-370-chorales,Johann Sebastian Bach,chor168,,1,,,,,
kern-bach-370-chorales-chor169,kern/bach-370-chorales,Johann Sebastian Bach,chor169,,1,,,,,
kern-bach-370-chorales-chor170,kern/bach-370-chorales,Johann Sebastian Bach,chor170,,1,,,,,
kern-bach-370-chorales-chor171,kern/bach-370-chorales,Johann Sebastian Bach,chor171,,1,,,,,
kern-bach-370-chorales-chor172,kern/bach-370-chorales,Johann Sebastian Bach,chor172,,1,,,,,
kern-bach-370-chorales-chor173,kern/bach-370-chorales,Johann Sebastian Bach,chor173,,1,,,,,
kern-bach-370-chorales-chor174,kern/bach-370-chorales,Johann Sebastian Bach,chor174,,1,,,,,
kern-bach-370-chorales-chor175,kern/bach-370-chorales,Johann Sebastian Bach,chor175,,1,,,,,
kern-bach-370-chorales-chor176,kern/bach-370-chorales,Johann Sebastian Bach,chor176,,1,,,,,
kern-bach-370-chorales-chor177,kern/bach-370-chorales,Johann Sebastian Bach,chor177,,1,,,,,
kern-bach-370-chorales-chor178,kern/bach-370-chorales,Johann Sebastian Bach,chor178,,1,,,,,
kern-bach-370-chorales-chor179,kern/bach-370-chorales,Johann Sebastian Bach,chor179,,1,,,,,
kern-bach-370-chorales-chor180,kern/bach-370-chorales,Johann Sebastian Bach,chor180,,1,,,,,
kern-bach-370-chorales-chor181,kern/bach-370-chorales,Johann Sebastian Bach,chor181,,1,,,,,
kern-bach-370-chorales-chor182,kern/bach-370-chorales,Johann Sebastian Bach,chor182,,1,,,,,
kern-bach-370-chorales-chor183,kern/bach-370-chorales,Johann Sebastian Bach,chor183,,1,,,,,
kern-bach-370-chorales-chor184,kern/bach-370-chorales,Johann Sebastian Bach,chor184,,1,,,,,
kern-bach-370-chorales-chor185,kern/bach-370-chorales,Johann Sebastian Bach,chor185,,1,,,,,
kern-bach-370-chorales-chor186,kern/bach-370-chorales,Johann Sebastian Bach,chor186,,1,,,,,
kern-bach-370-chorales-chor187,kern/bach-370-chorales,Johann Sebastian Bach,chor187,,1,,,,,
kern-bach-370-chorales-chor188,kern/bach-370-chorales,Johann Sebastian Bach,chor188,,1,,,,,
kern-bach-370-chorales-chor189,kern/bach-370-chorales,Johann Sebastian Bach,chor189,,1,,,,,
kern-bach-370-chorales-chor190,kern/bach-370-chorales,Johann Sebastian Bach,chor190,,1,,,,,
kern-bach-370-chorales-chor191,kern/bach-370-chorales,Johann Sebastian Bach,chor191,,1,,,,,
kern-bach-370-chorales-chor192,kern/bach-370-chorales,Johann Sebastian Bach,chor192,,1,,,,,
kern-bach-370-chorales-chor193,kern/bach-370-chorales,Johann Sebastian Bach,chor193,,1,,,,,
kern-bach-370-chorales-chor194,kern/bach-370-chorales,Johann Sebastian Bach,chor194,,1,,,,,
kern-bach-370-chorales-chor195,kern/bach-370-chorales,Johann Sebastian Bach,chor195,,1,,,,,
kern-bach-370-chorales-chor196,kern/bach-370-chorales,Johann Sebastian Bach,chor196,,1,,,,,
kern-bach-370-chorales-chor197,kern/bach-370-chorales,Johann Sebastian Bach,chor197,,1,,,,,
kern-bach-370-chorales-chor198,kern/bach-370-chorales,Johann Sebastian Bach,chor198,,1,,,,,
kern-bach-370-chorales-chor199,kern/bach-370-chorales,Johann Sebastian Bach,chor199,,1,,,,,
kern-bach-370-chorales-chor200,kern/bach-370-chorales,Johann Sebastian Bach,chor200,,1,,,,,
kern-bach-370-chorales-chor201,kern/bach-370-chorales,Johann Sebastian Bach,chor201,,1,,,,,
kern-bach-370-chorales-chor202,kern/bach-370-chorales,Johann Sebastian Bach,chor202,,1,,,,,
kern-bach-370-chorales-chor203,kern/bach-370-chorales,Johann Sebastian Bach,chor203,,1,,,,,
kern-bach-370-chorales-chor204,kern/bach-370-chorales,Johann Sebastian Bach,chor204,,1,,,,,
kern-bach-370-chorales-chor205,kern/bach-370-chorales,Johann Sebastian Bach,chor205,,1,,,,,
kern-bach-370-chorales-chor206,kern/bach-370-chorales,Johann Sebastian Bach,chor206,,1,,,,,
kern-bach-370-chorales-chor207,kern/bach-370-chorales,Johann Sebastian Bach,chor207,,1,,,,,
