query,work_A,work_B,df_pred,present,p_present_hier,p_present_kn
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op17n3,0.19745222929936307,0,0.6849719975236633,0.8159734131375329
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op17n5,0.19745222929936307,0,0.6240278025015931,0.7616501352236754
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op17n6,0.19745222929936307,0,0.7071606941225727,0.8346150667457828
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op20n1,0.19745222929936307,0,0.5209111483432203,0.6601264265328521
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op20n2,0.19745222929936307,0,0.7044312175480685,0.8323392455163949
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op20n3,0.19745222929936307,0,0.5307499730072647,0.6701266064811731
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op20n4,0.19745222929936307,0,0.46210692920974605,0.5973189058001713
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op20n5,0.19745222929936307,0,0.7581832924429326,0.874931345748911
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op20n6,0.19745222929936307,0,0.6794679981335734,0.8112564194306522
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op33n1,0.19745222929936307,0,0.7191882061714254,0.8445980151647133
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op33n2,0.19745222929936307,0,0.5929175992597868,0.7322210996138783
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op33n3,0.19745222929936307,0,0.7387321396762967,0.8599861188752517
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op33n4,0.19745222929936307,0,0.6317748204964748,0.7685460309007449
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op33n5,0.19745222929936307,1,0.7773043470297201,0.8914586010804026
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op33n6,0.19745222929936307,0,0.5715265178881213,0.7113898876653313
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op42-01,0.19745222929936307,0,0.158651290682702,0.2239959549064151
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op50n1,0.19745222929936307,0,0.7277920062919829,0.8512930912980068
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op50n2,0.19745222929936307,1,0.716769530505357,0.8506896874439578
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op50n3,0.19745222929936307,0,0.5692931665838539,0.7091902056208916
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op50n4,0.19745222929936307,0,0.6673116436474582,0.8008527011085338
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op50n5,0.19745222929936307,0,0.485731854274436,0.6229638148456675
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op50n6,0.19745222929936307,0,0.8056396545153057,0.9090350847510228
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op54n1,0.19745222929936307,1,0.8479284731035541,0.9391098766618151
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op54n2,0.19745222929936307,0,0.7057485312451095,0.8333545625134213
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op54n3,0.19745222929936307,0,0.7986463243252523,0.904312070868403
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op55n1,0.19745222929936307,0,0.6068043535883918,0.7453093805487272
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op55n2,0.19745222929936307,1,0.8549659380526002,0.943761572019961
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op55n3,0.19745222929936307,1,0.7332819551333065,0.8608340124312804
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op64n1,0.19745222929936307,0,0.3462900082561977,0.46399785671903226
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op64n2,0.19745222929936307,0,0.3006948161407055,0.4083922733069433
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op64n3,0.19745222929936307,0,0.6755700085582047,0.8078827672844126
153,dcml-beethoven_piano_sonatas-op-22,kern-humdrum-haydn-quartets-op64n4,0.19745222929936307,1,0.7700722095239708,0.8852435843705214
