query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
16,kern-beethoven-piano-sonatas-sonata27,beethoven_l,10803418882132551059,246,0.0009889280372606397,1327,900.0759744883946,1327,202.42829637514765,77
17,musedata_mozart-bhl-qrtets-k370,mozart_wa,1701328006742844829,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
18,musedata_mozart-bhl-qrtets-k285,mozart_wa,14428872071876781015,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
19,kern-humdrum-haydn-quartets-op71n3,haydn_fj,3097293016279630747,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
20,kern-humdrum-haydn-symphonies-sym100,haydn_fj,8071657746295554117,216,1.2019599043936653e-05,19,13.123280687819763,19,12.277722764440218,13
21,kern-humdrum-haydn-quartets-op77n2,haydn_fj,9236130745599265207,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
22,musedata_mozart-bhl-conc-k622,mozart_wa,2779154325225159215,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
23,musedata_beethoven-bhl-conc-violin,beethoven_l,11185099478490614731,246,0.03636648825622564,48833,30592.069611683513,48833,245.5724577026417,179
24,musedata_mozart-bhl-qrtets-k172,mozart_wa,16197786778504066959,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
25,dcml-kozeluh_sonatas-op-17-no-1,kozeluch_l,10544949537208031952,297,4.655521583167073e-07,0,0.9264627110341267,0,0.9226400526484356,0
26,musedata_beethoven-bhl-orch-sym8,beethoven_l,14313692609412329530,246,4.8376137362673264e-05,64,42.394069001247345,64,36.64172033176686,19
27,osq-5108729,gossec_fj,1462702675557138893,304,4.595941960439058e-07,0,0.9193714773483935,0,0.9156845691569278,0
28,musedata_mozart-bhl-conc-k450,mozart_wa,5090944420870650516,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
29,musedata_beethoven-bhl-orch-sym6,beethoven_l,13721151356651970294,246,4.390795731565205e-05,58,35.538053660025405,58,31.094651819991796,19
30,musedata_mozart-nma-sym-k43,mozart_wa,13841404174617843719,231,0.00040059256641692694,635,419.3379219704053,635,146.21231616165068,91
31,dcml-beethoven_piano_sonatas-op-53,beethoven_l,18305368214151041174,246,3.6943368924610882e-06,4,3.108220003122292,4,3.065832777281581,4
32,musedata_beethoven-bhl-orch-sym9,beethoven_l,8991631641483999918,246,2.2049435434540155e-06,2,2.256960770760731,2,2.2329882369796517,1
33,musedata_mozart-bhl-conc-k450,mozart_wa,8637212653016503593,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
34,dcml-kozeluh_sonatas-op-10-no-1,kozeluch_l,7501484835351352977,297,1.4345831132292715e-06,2,2.4800475637900794,2,2.4468635047729506,2
35,musedata_beethoven-bhl-orch-sym1,beethoven_l,8264376112919494876,246,0.00014816549174614713,198,138.6039718407104,198,91.22633544432,72
36,musedata_mozart-bhl-qrtets-k370,mozart_wa,15077813762605514634,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
37,kern-humdrum-haydn-quartets-op55n2,haydn_fj,462327935981145403,216,2.1051974110113602e-05,34,22.365976677785422,34,20.12497932119098,15
38,dcml-beethoven_piano_sonatas-op-10-1,beethoven_l,11480388474139142365,246,1.4602468689504787e-06,1,1.9309650113513328,1,1.9166571343534045,1
39,osq-5108909,schubert_f,11770656265712966074,288,1.0095609864012355e-06,1,1.5055130860148527,1,1.4975280867610334,1
40,dcml-beethoven_piano_sonatas-op-27-1,beethoven_l,6684035197061309914,246,0.00030901997343891097,414,289.0501500772016,414,139.06514959980223,106
41,dcml-cpe_bach_keyboard-wq117n13,bach_cpe,11014589826569171688,271,4.6920066997681484e-07,0,0.9329779210056072,0,0.9290623947287598,0
42,kern-humdrum-haydn-symphonies-sym102,haydn_fj,18393813864822966287,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
43,kern-humdrum-haydn-quartets-op64n3,haydn_fj,15883361305857544597,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
44,musedata_mozart-nma-sym-k45,mozart_wa,2355059962871086999,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
45,dcml_abc-n14op131,beethoven_l,18207364549488308068,246,1.4602468689504787e-06,1,1.8501517680251158,1,1.836815609456601,1
46,dcml_abc-n02op18-2,beethoven_l,12107047427064549431,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
47,dcml_abc-n15op132,beethoven_l,11379584286865703963,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
48,kern-humdrum-haydn-symphonies-sym100,haydn_fj,17324819380679724761,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
49,osq-5116349,arriaga_jc,8942966689877010268,302,1.4324679766881617e-06,2,2.0204340346212675,2,2.0076793343166726,1
50,dcml-beethoven_piano_sonatas-op-110,beethoven_l,14298340066842436713,246,3.6943368924610882e-06,4,3.108220003122292,4,3.065832777281581,2
51,kern-humdrum-haydn-symphonies-sym101,haydn_fj,8658613387404361537,216,1.984765743462334e-05,32,20.47237568650178,32,18.721873943756314,10
52,dcml_mozart_sonatas-K457,mozart_wa,3583661485227438291,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
53,osq-5108909,schubert_f,11795067275911018803,288,0.0006481834215584022,1258,914.4401057718057,1258,226.1404291810423,200
54,kern-humdrum-haydn-quartets-op71n1,haydn_fj,6610286562383265605,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
55,kern-humdrum-haydn-quartets-op54n1,haydn_fj,107848137463227094,216,3.589382315504834e-06,5,5.378634335288621,5,5.1522150603974515,4
56,osq-5116346,arriaga_jc,11813789050793240196,302,4.6486575236868824e-07,0,0.9256458459041002,0,0.9218473974436125,0
57,kern-beethoven-piano-sonatas-sonata27,beethoven_l,15170396102668432366,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
58,musedata_mozart-bhl-conc-k453,mozart_wa,3449274569349698519,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
59,musedata_beethoven-bhl-orch-sym2,beethoven_l,3897674789453400540,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
60,musedata_beethoven-bhl-orch-sym9,beethoven_l,5649157034055091046,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
61,dcml_abc-n10op74,beethoven_l,1989170331682337013,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
62,musedata_beethoven-bhl-orch-sym8,beethoven_l,11185099478490614731,246,0.03636648825622564,48833,30592.069611683513,48833,245.5724577026417,179
63,musedata_mozart-bhl-qrtets-k285,mozart_wa,10854024840505956090,231,0.0005423203564941812,860,594.9379233963547,860,167.73364304873564,137
64,kern-humdrum-haydn-symphonies-sym102,haydn_fj,7098739074317881793,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
65,kern-humdrum-haydn-symphonies-sym101,haydn_fj,18193891147960501725,216,7.804490679720744e-06,12,10.211880020643065,12,9.553663713457327,7
66,dcml-jc_bach_sonatas-op-17,bach_jc,8822513502776632817,303,4.660846463197258e-07,0,0.9275247506788965,0,0.9237116352665123,0
67,kern-humdrum-haydn-quartets-op74n3,haydn_fj,1044640463552326987,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
68,kern-humdrum-haydn-quartets-op74n2,haydn_fj,12117696511486710779,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
69,dcml_abc-n04op18-4,beethoven_l,5336655267738235414,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
70,dcml-jc_bach_sonatas-op-17,bach_jc,14742291255198126180,303,4.660846463197258e-07,0,0.9275247506788965,0,0.9237116352665123,0
71,dcml-cpe_bach_keyboard-wq56n05,bach_cpe,11914838893655090332,271,4.6920066997681484e-07,0,0.9329779210056072,0,0.9290623947287598,0
72,musedata_beethoven-bhl-qrtet-op133,beethoven_l,2090608259349952484,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
73,musedata_mozart-nma-conc-k467,mozart_wa,13792217767385829829,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
