query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
58,musedata_mozart-bhl-conc-k453,mozart_wa,3449274569349698519,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
59,musedata_beethoven-bhl-orch-sym2,beethoven_l,3897674789453400540,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
60,musedata_beethoven-bhl-orch-sym9,beethoven_l,5649157034055091046,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
61,dcml_abc-n10op74,beethoven_l,1989170331682337013,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
62,musedata_beethoven-bhl-orch-sym8,beethoven_l,11185099478490614731,246,0.03592523631248791,48833,30208.937728635377,48833,245.55985934389997,179
63,musedata_mozart-bhl-qrtets-k285,mozart_wa,10854024840505956090,231,0.0005357662889130603,860,587.4493206103712,860,167.09517801119182,137
64,kern-humdrum-haydn-symphonies-sym102,haydn_fj,7098739074317881793,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
65,kern-humdrum-haydn-symphonies-sym101,haydn_fj,18193891147960501725,216,7.736750517172016e-06,12,10.130196765465671,12,9.482292983313966,7
66,dcml-jc_bach_sonatas-op-17,bach_jc,8822513502776632817,303,4.793905220658664e-07,0,0.953732427911133,0,0.9497021643512937,0
67,kern-humdrum-haydn-quartets-op74n3,haydn_fj,1044640463552326987,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
68,kern-humdrum-haydn-quartets-op74n2,haydn_fj,12117696511486710779,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
69,dcml_abc-n04op18-4,beethoven_l,5336655267738235414,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
70,dcml-jc_bach_sonatas-op-17,bach_jc,14742291255198126180,303,4.793905220658664e-07,0,0.953732427911133,0,0.9497021643512937,0
71,dcml-cpe_bach_keyboard-wq56n05,bach_cpe,11914838893655090332,271,4.826264143367072e-07,0,0.9594203716396555,0,0.9552810958437375,0
72,musedata_beethoven-bhl-qrtet-op133,beethoven_l,2090608259349952484,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
73,musedata_mozart-nma-conc-k467,mozart_wa,13792217767385829829,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
