n,lam,loglik,pendiente,MAE_log,sesgo_log,obs_pred
8,0.05,-20.27217110360076,1.017889977671037,0.244221190449751,-0.13992838303829186,1.0935653014776314
8,0.1,-20.170923568584104,1.0176361547934658,0.2428963647398684,-0.14165548121117716,1.0878755336578574
8,0.15,-20.108049325224027,1.017376126162626,0.241552785014521,-0.14331062508391937,1.0822446665586662
8,0.2,-20.06435398064183,1.0171099580321203,0.24019375791593323,-0.1448941269463319,1.076671790275563
8,0.25,-20.032883256151916,1.0168376726902022,0.23885381011511814,-0.14640607503325487,1.0711560135497729
8,0.3,-20.010291018654346,1.0165592470204952,0.23762877939255653,-0.1478463252221831,1.0656964632930652
8,0.35,-19.994741816880264,1.0162746100452258,0.23642236462279162,-0.14921448838626566,1.0602922841270377
8,0.4,-19.985173602927805,1.0159836392917192,0.23522771606766352,-0.1505099127339696,1.0549426379363456
8,0.45,-19.98098533354863,1.015686155750386,0.23423069764741392,-0.1517316601882427,1.0496467034353898
8,0.5,-19.981893351565848,1.015381917095473,0.23320207078550084,-0.15287847548894434,1.04440367574799
8,0.55,-19.987869834489246,1.0150706087056092,0.23213689951974245,-0.15394874619830973,1.0392127659995931
8,0.6,-19.999132479889294,1.014751831830322,0.2311496372338883,-0.15494045108291113,1.0340732009215834
8,0.65,-20.016179787600688,1.0144250879704821,0.23039086375556536,-0.1558510933319608,1.0289842224672732
8,0.7,-20.039886144812666,1.0140897581247896,0.2296730220554002,-0.15667761358258714,1.0239450874391816
8,0.75,-20.071702147167425,1.0137450749172388,0.22892751948731097,-0.15741627548091375,1.0189550671272076
8,0.8,-20.11408141581223,1.0133900846169202,0.2281910756044518,-0.15806251304364585,1.0140134469573348
8,0.85,-20.17149257314941,1.013023594433213,0.2274573654003156,-0.1586107235754876,1.009119526150506
8,0.9,-20.25334820474078,1.0126440977368294,0.22684369764482024,-0.15905398084748662,1.0042726173913294
8,0.95,-20.386430687577242,1.0122496650929902,0.2266267437193111,-0.15938362781688334,0.9994720465062896
8,1.0,-33.19853186257626,1.0118377803120946,0.22637864514546077,-0.15958868073935725,0.9947171521511389
10,0.0,-36.53918233904669,1.009702932712492,0.09513032303668244,-0.0492979154378288,1.1003089074314905
10,0.05,-25.375998773488753,1.0093840069886297,0.09476831963349952,-0.05020394234590695,1.0942870061163585
10,0.1,-25.2503045701512,1.0090618588007152,0.09440408834604945,-0.05105735369366194,1.088330660772664
10,0.15,-25.174393217067596,1.0087364638940612,0.09407107411399661,-0.05185769767006157,1.0824388067068422
10,0.2,-25.12251794938016,1.0084077148239001,0.0937563067177725,-0.05260418039117862,1.0766104021567489
10,0.25,-25.085604143242723,1.008075411853821,0.09344791930879,-0.053295628861974996,1.0708444276775944
10,0.3,-25.059362871896923,1.0077392486788128,0.09313989689972135,-0.053930437412215454,1.0651398855475045
10,0.35,-25.04146996039019,1.0073987912519455,0.09285751208639699,-0.054506492375411816,1.05949579919198
10,0.4,-25.03059039910338,1.007053446993095,0.09287722465660138,-0.05502106699421095,1.0539112126265624
10,0.45,-25.02596970437985,1.006702420051345,0.09308823377485156,-0.055470674144821236,1.0483851899170253
10,0.5,-25.027247201073344,1.0063446456057852,0.09334284665865748,-0.05585085728430985,1.0429168146564696
10,0.55,-25.034375542338694,1.0059786915123634,0.09377139183569826,-0.056155887793087944,1.0375051894586897
10,0.6,-25.047605356728276,1.0056026071037023,0.0946403898370793,-0.05637831518338192,1.0321494354672378
10,0.65,-25.067526865249924,1.0052136827246743,0.09573100829925792,-0.05650827626677809,1.026848691879612
10,0.7,-25.095185608384718,1.0048080508028214,0.09699690760638094,-0.05653238995677476,1.021602115486034
10,0.75,-25.132328715115033,1.0043799883217421,0.09843652252051478,-0.05643189744262503,1.0164088802222913
10,0.8,-25.181933694491573,1.0039206136604635,0.10004101361009711,-0.0561793267274585,1.011268176736151
10,0.85,-25.249472773922985,1.0034152340081761,0.10199853988951854,-0.05573199782162071,1.006179211966866
10,0.9,-25.34661038007944,1.0028372850108795,0.10450268189355871,-0.055017897049146995,1.0011412087373104
10,0.95,-25.50711607381253,1.002131993234836,0.10745893122975525,-0.05389969479658407,0.9961534053583101
10,1.0,-37.79781544174913,1.0011590852222885,0.11136745476515696,-0.05205704264479987,0.991215055244742
12,0.0,-41.92291797918946,1.0037684945008625,0.06793397124554101,-0.02691304825676327,1.1132177017558174
12,0.05,-29.779231734923933,1.003592138811187,0.0668329145127355,-0.026882739645066583,1.10618786211225
12,0.1,-29.637333739762628,1.00341852407257,0.0657181687543254,-0.02682820286564753,1.099246250549688
12,0.15,-29.552834651243106,1.0032476342494325,0.06458881307184802,-0.026748737042581867,1.0923912164648144
12,0.2,-29.495527248417478,1.0030794448157265,0.06344384516479894,-0.026643551818884594,1.0856211501725963
12,0.25,-29.454937661289776,1.0029139214126337,0.06228269677167748,-0.026511756751209647,1.0789344816461484
12,0.3,-29.426165772591357,1.0027510181412602,0.06119443671384537,-0.0263523486933897,1.0723296793028714
