pair,label,work_A,work_B,hash,occ_A,occ_B,mov_A,windows_B,DF,E,E_laplace,intervals,rclass,uniform_rhythm
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,6420015703652674026,2,2,2|4,5517,0.4393063583815029,3.9736398765636913,2.904424540595668,2 2 1 2 2 2 1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,6684035197061309914,2,1,2|3,5517,0.3872832369942196,2.6191335909407214,1.667113637651325,2 1 2 2 2 1 2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,8199713843492575879,1,1,2,5517,0.023121387283236993,0.03456613210329409,0.04558513852952841,-1 3 -2 4 -2 3 -3,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11505523353205452945,1,4,2,5517,0.18497109826589594,0.6664992164351564,0.4753878732365106,2 2 1 2 2 2 1,0 0 0 0 0 0 1,0
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,10854024840505956090,1,8,2,5517,0.5144508670520231,4.3597170376575685,2.8262785888307618,-1 -2 -2 -2 -1 -2 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,5262033149367768574,1,4,2,5517,0.41040462427745666,2.7305836521046247,1.7647960773574574,-2 -2 -2 -1 -2 -2 -1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11994326424673232939,1,1,3,5517,0.011560693641618497,0.017736378704201253,0.019536487941226463,-2 -2 -1 3 -2 -1 -2,-2 0 0 0 0 0 0,0
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,113214136068456748,1,1,3,5517,0.30057803468208094,1.2417856960819227,0.9312392585317947,2 2 -2 -2 -1 -2 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,2541865746873384477,1,1,3,5517,0.26011560693641617,1.0838694611232376,0.7293622164724546,2 1 2 2 -2 -2 -1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,12047171225645131023,1,2,3,5517,0.5664739884393064,4.396984134582156,3.164911046478687,-1 -2 -2 -1 -2 -2 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,13417873853411728431,1,1,3,5517,0.3872832369942196,2.84594092912201,1.8234055411811365,1 2 2 2 1 2 2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,18416000846939060045,1,1,3,5517,0.017341040462427744,0.013612709285621074,0.026048650588301952,-3 -3 -4 -2 -3 -3 -4,-2 0 0 0 0 0 0,0
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,14089761848084053328,1,1,3,5517,0.09826589595375723,0.38183609461805557,0.22792569264764206,-2 -1 -2 -2 -1 -2 -1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,16894242584491025384,1,1,3,5517,0.21965317919075145,0.46871744186228087,0.4753878732365106,3 -2 -1 -2 -2 -1 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,1030166465146315442,1,1,3,5517,0.023121387283236993,0.026009883183621293,0.039072975882452926,-2 -1 -2 -2 -1 -2 8,0 0 0 0 0 0 0,1
