query,work,composer,n_B,obs_occ,obs_works,pred_occ_lap,pred_occ_kn,pred_occ_hier,pred_works_lap,pred_works_kn,pred_works_hier,pred_works_df
42,kern-humdrum-haydn-symphonies-sym102,haydn_fj,216,0,0,1.0768521539959388,0.035721063950479796,0.054710585532495144,1.0694009250832588,0.03571475040587102,0.05461702310113603,0.044179382598531464
43,kern-humdrum-haydn-quartets-op64n3,haydn_fj,216,0,0,1.0768521539959388,0.25993787703973564,0.24962836568073607,1.0694009250832588,0.259128154560454,0.24926606287762698,0.1531116097373966
44,musedata_mozart-nma-sym-k45,mozart_wa,231,0,0,1.0755791371670043,8.289043075605775e-05,6.673335733253261e-05,1.0674064883778756,8.289035612296658e-05,6.673331645246083e-05,4.741459192331326e-05
45,dcml_abc-n14op131,beethoven_l,246,1,1,1.8649304258900965,1.54409691169672,1.566747484960401,1.851396890472589,1.5342016383731183,1.5463453844471484,1.293848372403248
46,dcml_abc-n02op18-2,beethoven_l,246,0,0,0.9767441434944739,1.4106302527153248e-05,4.299242917579014e-05,0.9730988331175744,1.4106301679861488e-05,4.299218776127045e-05,1.2814187155172099e-05
47,dcml_abc-n15op132,beethoven_l,246,0,0,0.9767441434944739,1.0483761257306571e-08,1.4313276683282257e-08,0.9730988331175744,1.0483761192503493e-08,1.431327667500426e-08,1.2288988033311387e-08
48,kern-humdrum-haydn-symphonies-sym100,haydn_fj,216,0,0,1.0768521539959388,8.029964567677719e-05,5.8183734690107717e-05,1.0694009250832588,8.029960357702759e-05,5.8183714100712436e-05,6.942399593201469e-05
49,osq-5116349,arriaga_jc,302,2,1,2.0335525449689085,1.426726988755152,1.5623643983180573,2.0206198160474225,1.419477882505108,1.5493815794431207,1.0425868435371768
50,dcml-beethoven_piano_sonatas-op-110,beethoven_l,246,4,2,3.1080875610388246,2.883916058434189,3.3013634633803943,3.065949910427557,2.836951011597133,3.2583484526601167,1.8654536133523503
51,kern-humdrum-haydn-symphonies-sym101,haydn_fj,216,32,10,20.267133005671564,28.16000512115376,30.22599003864076,18.549529111639313,24.97706863997778,25.82031458314039,9.734770351355081
52,dcml_mozart_sonatas-K457,mozart_wa,231,0,0,1.0755791371670043,1.6049803284870267e-09,5.374685129641221e-09,1.0674064883778756,1.6049802598061547e-09,5.374684253212081e-09,1.5052527834715942e-09
53,osq-5108909,schubert_f,288,1258,200,903.5157980031042,1318.2945754616376,1313.1749400941085,225.44571288054877,244.57091823833142,249.76524375966451,199.63388787115684
54,kern-humdrum-haydn-quartets-op71n1,haydn_fj,216,0,0,1.0768521539959388,1.0182428598623001e-05,7.413502990341471e-06,1.0694009250832588,1.0182427295446494e-05,7.41350248523176e-06,6.378532301330384e-06
55,kern-humdrum-haydn-quartets-op54n1,haydn_fj,216,5,4,5.355429635659831,6.429479874483023,5.808852593801644,5.131381497816509,6.079278124766355,5.622397945654901,3.6322546681924175
56,osq-5116346,arriaga_jc,302,0,0,0.951782940162846,0.26725039939082956,0.3683101131504757,0.9477683226377254,0.26687489676326115,0.3678483508283925,0.23361723921379596
57,kern-beethoven-piano-sonatas-sonata27,beethoven_l,246,0,0,0.9767441434944739,1.8185091889036818e-06,2.986963878845492e-06,0.9730988331175744,1.8185091745781534e-06,2.9869636615220685e-06,1.9287362502833247e-06
